id,name,sku,category,subCategory,description,brand,hsnNumber,eanNumber,maxOrder,sacNumber,gst,cess,MRP,O2RLP,PTH,PTR,packOf,manufacturer,itemType,platformType,shopTypes,retailerTypes,cities,hubs,productType,isFeatured,isNonDiscountable,shelfLifeInMonth,length,width,height,volume,unitWeight,unitWeightType,packType,parentVariant,status
P-895,Chingles Filz Jar,SKU00001,Confectionery,Chingles,Chingles Filz (150 pc),DS Group,1704,,0,,18.0,0.0,150.0,115.74,124.63,125.0,1,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ",,,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB011, HB001, ",DS Group Products,No,No,12,11.0,11.0,23.0,0.002783,3.5,G,JAR,SKU00001,ACTIVE
P-903,Chingles Maxi Tutti Fruiti Jar,SKU00009,Confectionery,Chingles,Chingles Maxi Tutti Fruiti Jar (150 pcs),DS Group,1704,,0,,18.0,0.0,150.0,115.74,124.63,125.0,1,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ",,,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB011, ",DS Group Products,No,No,12,10.0,10.0,22.5,0.00225,2.4,G,JAR,SKU00009,ACTIVE
P-904,Pass Pass Meetha Magic 11g Hanger,SKU00010,Mouth Fresheners,Pass Pass,Pass Pass Meetha Magic 12g Hanger (18 pcs),DS Group,2008,,0,,12.0,0.0,90.0,66.66,71.8,72.0,18,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ",,,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB011, ",DS Group Products,No,No,9,12.0,6.5,2.0,0.002808,12.0,G,HANGER,SKU00010,ACTIVE
P-910,Pass Pass Meetha Magic FTT 20 Pcs,SKU00016,Mouth Fresheners,Pass Pass,Pass Pass Meetha Magic FTT MasterPouch ,DS Group,2008,,0,,12.0,0.0,200.0,148.14,159.54,160.0,20,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ",,,"HB010, ",DS Group Products,No,No,9,8.0,3.0,2.5,0.0012,18.0,G,FTT,SKU00016,ACTIVE
P-914,Pass Pass FTT,SKU00020,Mouth Fresheners,Pass Pass,Pass Pass FTT,DS Group,2008,,0,,12.0,0.0,100.0,74.07,79.77,80.0,10,DS Group,FOOD,ALL,"Chemist A, Chemist B, Chemist C, General A, General B, General C, Paan A, Paan B, Paan C, Wholesaler, ","HVHF, HVLF, LVHF, LVLF, ",,"HB002, HB003, HB004, HB005, HB008, HB009, HB011, HB007, ",DS Group Products,No,Yes,9,26.5,11.5,3.5000000000000004,0.010666250000000002,18.0,G,FTT,SKU00020,ACTIVE
P-916,Pulse Kachha Aam 175 Candy,SKU00022,Confectionery,Pulse,Pulse Kaccha Aam Jar (175pcs),DS Group,1704,,0,,12.0,0.0,175.0,134.25,144.57,145.0,1,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ","LVLF, LVHF, HVLF, HVHF, ",,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB001, HB011, ",DS Group Products,No,No,12,9.5,9.5,23.0,0.00207575,4.0,G,JAR,SKU00022,ACTIVE
P-918,Pulse Kachha Aam Jar (250 Candy),SKU00024,Confectionery,Pulse,"Pulse Kaccha Aam Jar (250pcs)
",DS Group,1704,,0,,12.0,0.0,250.0,174.07,187.44,188.0,1,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ","LVLF, LVHF, HVLF, HVHF, ",,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB011, ",DS Group Products,No,No,12,13.0,10.0,27.5,0.003575,4.0,G,JAR,SKU00024,ACTIVE
P-920,Pulse Litchi Candy Jar,SKU00026,Confectionery,Pulse,Pulse Litchi Jar (177 pcs),DS Group,1704,,0,,12.0,0.0,175.0,134.25,144.57,145.0,1,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ","LVLF, LVHF, HVLF, HVHF, ",,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB001, HB011, ",DS Group Products,No,No,12,9.5,9.5,23.0,0.00207575,3.8,G,JAR,SKU00026,ACTIVE
P-924,Pulse Mix Candy Jar,SKU00030,Confectionery,Pulse,"Pulse Mix Jar (177 pcs)
",DS Group,1704,,0,,12.0,0.0,175.0,134.25,144.57,145.0,1,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ","LVLF, LVHF, HVLF, HVHF, ",,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB011, ",DS Group Products,No,No,12,9.5,9.5,23.0,0.00207575,4.0,G,JAR,SKU00030,ACTIVE
P-927,Rajnigandha 100g ,SKU00033,Pan Masala,Rajnigandha,Rajnigandha,DS Group,21069020,,0,,28.0,32.0,350.0,305.21,321.03,322.0,1,DS Group,FOOD,ALL,"General A, General B, General C, Chemist A, Chemist B, Chemist C, Paan A, Paan B, Paan C, General Trade, Wholesaler, ","LVLF, LVHF, HVLF, HVHF, ",,"HB002, HB003, HB004, HB005, HB007, HB008, HB009, HB010, HB011, ",DS Group Products,No,No,4,6.0,6.0,10.0,3.6E-4,100.0,G,TIN,SKU00033,ACTIVE
